analysis,N,systems,B,SE,CI_low,CI_high,I2,PI_low,PI_high,notes
Primary SEN-focused PL association,114140,54,0.798,0.034,0.731,0.866,84.0,0.344,1.253,"Adjusted for teaching experience, target-class size, SEN concentration in target class, and questionnaire form; overlapping national Belgium aggregate excluded"
High-need subgroup SEN-focused PL association,30415,54,0.791,0.045,0.703,0.878,61.1,0.293,1.288,"Contrast estimated within teachers reporting high SEN-related professional-learning need"
SEN-focused PL x high-need interaction,113482,54,0.016,0.042,-0.067,0.099,41.9,,,"Direct moderation test; no evidence that high current need changes the association"
General self-efficacy sensitivity,114047,54,0.625,0.029,0.568,0.682,81.2,0.251,0.999,"Primary model plus overall teacher self-efficacy composite T4SELF"
Gender+education restricted-sample baseline,22598,18,0.930,0.061,0.811,1.049,73.0,0.488,1.372,"Primary covariates in systems with jointly observed gender and education"
Gender+education restricted-sample adjusted,22598,18,0.931,0.061,0.812,1.051,73.2,0.487,1.375,"Adds gender and highest educational attainment"
Good/Fair adjudication systems only,108347,48,0.817,0.036,0.747,0.887,84.4,0.366,1.267,"Excludes education systems rated Poor or Insufficient for ISCED-2 teacher data"
T4SESEN six-item weighted alpha summary,,54,,,,,,, ,"Weighted Cronbach alpha range 0.782-0.940; median 0.862; mean 0.863"
